UserIdentifier,UserBrowser,D01,D02,D03,D04,D05,D06,D07
d2d10f362bb1d0092174a660778cbe50,Firefox 69.0 (Desktop),M,1954.0,3.0,4.0,2.0,6.0,2.0
083a56a91d0d1ee4e66643849133b2b3,Chrome 70.0.3538.110 (Mobile),M,1963.0,2.0,2.0,2.0,7.0,2.0
fdc1004b329f2aca4c81ad59c93c1be0,Chrome 77.0.3865.90 (Desktop),K,1975.0,4.0,1.0,4.0,5.0,6.0
8b8a4372a0f3fd3e1a1d4c531211506e,Chrome 75.0.3770.142 (Desktop),K,1991.0,3.0,2.0,4.0,5.0,4.0
58d0c701bf73a5949e2ee29f387fb5a2,Chrome 78.0.3904.108 (Mobile),M,2000.0,3.0,3.0,1.0,7.0,6.0
30dd12bfaeb5a73dcdc1e70d20c7e227,Chrome 80.0.3987.87 (Mobile),M,2001.0,2.0,3.0,3.0,6.0,6.0
ebe041105da17b051d459a6a125ef95f,Chrome 78.0.3904.108 (Desktop),K,1974.0,4.0,2.0,1.0,7.0,3.0
0f2eb3d700cdbdde96d9ea1bb6beee77,Chrome 79.0.3945.130 (Desktop),M,1964.0,2.0,4.0,3.0,4.0,2.0
1460b23d5e8914822c5b0c9c33fd19b5,Chrome 78.0.3904.108 (Desktop),K,1957.0,2.0,4.0,4.0,10.0,2.0
71f5709a982efc4f5a84f7d75cb71bfe,Chrome 78.0.3904.108 (Mobile),K,1994.0,3.0,2.0,3.0,7.0,3.0
b0de0a21dc60c35118d1fcd1b71744d9,Chrome 77.0.3865.116 (Mobile),K,1999.0,3.0,7.0,3.0,5.0,5.0
8184eb92aaa079e7428d78de49eaccd4,Opera 66.0.3515.75 (Desktop),M,2000.0,3.0,6.0,4.0,5.0,4.0
b33f524e8b26df611831d34f71946c73,Firefox 71.0 (Desktop),K,1943.0,3.0,4.0,3.0,2.0,1.0
7b364b13dcf796cc772d22ae2675ef78,Chrome 78.0.3904.108 (Desktop),K,1974.0,2.0,7.0,1.0,4.0,6.0
ce7025554845d2706a10ee577cb847d3,Firefox 73.0 (Desktop),M,1973.0,3.0,2.0,5.0,7.0,4.0
8ca7fae45397e15f12dc553e2322a328,Chrome 79.0.3945.130 (Desktop),M,1992.0,3.0,2.0,3.0,4.0,3.0
